,total_return,sharpe,vol,max_dd,hit_rate,n_active
AMD,3.0133291515371035,2.8924440844583272,0.537328530413638,-0.19033892441544742,0.4435483870967742,191.0
UNH,0.4787989933403076,1.9729624243383812,0.2128773495062992,-0.07602777402734628,0.3346774193548387,175.0
GOOG,0.4577661082682758,1.8587174386875918,0.218939335121466,-0.0851289622195236,0.39919354838709675,187.0
F,0.4002568958558821,1.3637881203693623,0.2785187546724852,-0.2204115351606496,0.25806451612903225,128.0
NU,0.3374709663804052,1.2883002105633274,0.25429492446181384,-0.14877056177227777,0.3548387096774194,155.0
AAL,0.42803081306588076,1.272898052106608,0.32593958144714996,-0.2277025499302785,0.31451612903225806,152.0
NVDA,0.25134308716551734,1.046138566005072,0.24666179787750744,-0.15824845168028612,0.3467741935483871,169.0
HOOD,0.24241173430025587,0.6752535584741495,0.5438813591383583,-0.46924680484945525,0.3911290322580645,193.0
PLTR,0.13994458214507755,0.529696098554449,0.4076496342863138,-0.3253022265493385,0.4112903225806452,205.0
ARKK,0.08316105253770023,0.451782617471376,0.24627779500926078,-0.3090943626510848,0.3911290322580645,202.0
BABA,0.08971676688280983,0.4277729114637223,0.32338430836250215,-0.3899493110593717,0.3185483870967742,177.0
SPY,0.029751561890136058,0.3805242601205475,0.08855999263028458,-0.06410579936989369,0.3911290322580645,192.0
MSFT,0.05548820750368866,0.3743113401887736,0.19965581072509675,-0.24908620202057574,0.3790322580645161,192.0
ABNB,0.06775637516508826,0.3734710547799695,0.2778544803139492,-0.24051027107193268,0.3629032258064516,191.0
AAPL,0.05144981635195456,0.3580287601944593,0.1960810967150638,-0.1307535335538852,0.3790322580645161,187.0
BAC,0.04186185212253779,0.3345588364599165,0.16561280248430704,-0.2057413819233258,0.3951612903225806,183.0
WFC,0.04301620614684776,0.31842015565453224,0.19284861996491792,-0.15415423894761227,0.39919354838709675,191.0
BRK.B,0.01956126987255513,0.23238002525208842,0.1113503187904959,-0.11018876599645488,0.3588709677419355,185.0
C,-0.0032420805753432536,0.08587202419686181,0.2042028057101277,-0.20174479132619894,0.4153225806451613,193.0
V,-0.015330940763780943,-0.03477107055224163,0.14654589222828857,-0.1036568120295096,0.33064516129032256,181.0
JPM,-0.03802953456510205,-0.20099296362483735,0.14426165028841686,-0.15097795157852978,0.3870967741935484,182.0
AMZN,-0.09422093379776841,-0.4045583381902812,0.1995277592499592,-0.21538276044755633,0.3911290322580645,202.0
COUR,-0.17431685236611238,-0.45332574242765644,0.31831967014635715,-0.27734206057494737,0.20967741935483872,114.0
TSM,-0.1542890088214025,-0.5115776940552226,0.2643171376107633,-0.30655430661522554,0.3548387096774194,189.0
NIO,-0.23214109308766884,-0.5334145381105927,0.37330772023646575,-0.3004179080479811,0.2620967741935484,132.0
GEV,-0.2242315890897949,-0.5522361886453219,0.35372930340049125,-0.32540100232746305,0.375,198.0
MA,-0.1033380262476149,-0.6527711561249963,0.15202484036056452,-0.17516693917200443,0.31451612903225806,159.0
TLT,-0.044733980869664736,-0.7279714732663067,0.06130408146922746,-0.09238847747835888,0.29435483870967744,150.0
COST,-0.09565217140942794,-0.8035182635826689,0.11842253852147716,-0.13659851814551416,0.33064516129032256,188.0
PYPL,-0.2942296807029431,-0.9692877108122705,0.3126348521488136,-0.40676569753294745,0.32661290322580644,184.0
TSLA,-0.2790046795336113,-1.1647294581599477,0.2569058817158291,-0.3388316037103618,0.3185483870967742,178.0
XPEV,-0.41457970471968797,-1.1957271282822368,0.39088840866577773,-0.46033431963242244,0.3024193548387097,172.0
LI,-0.38299504651361616,-1.649932583873741,0.27429819088056384,-0.4215591428114591,0.21370967741935484,140.0
