pair,period,sessions,total_return,cagr,vol,sharpe,max_dd,transactions,round_trips,exposure,max_gross,end_value,sym_a,sym_b,lookback,entry_z,exit_z
AMZN/GOOG,IS,629,0.2681379019265644,0.09984681075646007,0.0633167560898521,1.5347885422953291,-0.06103598740936411,42,10,0.2766295707472178,1.0023792142839831,126813.79019265644,AMZN,GOOG,60,2.5,0.5
AMZN/GOOG,OOS,311,0.08624680503912696,0.0693318244961798,0.043431949204208335,1.5651983070160578,-0.03165722266045978,14,3,0.1414790996784566,0.9448178575149356,108624.6805039127,AMZN,GOOG,60,2.5,0.5
AMZN/META,IS,629,0.3403781278399025,0.124532057763026,0.07186344445967202,1.6692014369792727,-0.06552576174956393,96,24,0.31160572337042924,0.9930760560698164,134037.81278399026,AMZN,META,30,2.0,0.5
AMZN/META,OOS,311,0.11127057028964771,0.08924934729713341,0.10713323928920723,0.8508310248370956,-0.12005017621229075,56,14,0.3665594855305466,1.0590987255155806,111127.05702896477,AMZN,META,30,2.0,0.5
CVX/XOM,IS,629,0.08643829111835633,0.03377237418866241,0.0413958210591767,0.8230486126621565,-0.06378292443770106,88,22,0.3783783783783784,0.9746813176195734,108643.82911183564,CVX,XOM,30,2.0,0.5
CVX/XOM,OOS,311,0.01896707309916157,0.015341373457383733,0.03534516837255461,0.44837528956127076,-0.026899519150209827,44,11,0.3247588424437299,0.9744099759383176,101896.70730991616,CVX,XOM,30,2.0,0.5
JPM/WFC,IS,629,0.14712863463055448,0.05653224824504388,0.05647394778146659,1.0019606869248028,-0.07409364696803145,80,20,0.41812400635930047,1.0293149103934116,114712.86346305544,JPM,WFC,60,2.0,0.5
JPM/WFC,OOS,311,0.02408065742695964,0.019468151722211058,0.06078475484345657,0.3472765619950925,-0.056708701812032136,34,8,0.4565916398713826,0.9635461681442641,102408.06574269597,JPM,WFC,60,2.0,0.5
XLE/XLI,IS,629,0.1249376085344358,0.04829590329480227,0.04596218744811163,1.0492017488253802,-0.04249113869006138,108,27,0.356120826709062,0.9614273202420318,112493.76085344357,XLE,XLI,30,2.0,0.5
XLE/XLI,OOS,311,-0.05966325087911506,-0.048624792181581555,0.07572839838919859,-0.6204942631485143,-0.1192974316870592,52,13,0.33440514469453375,0.9444217582708112,94033.67491208849,XLE,XLI,30,2.0,0.5
