submitted_utc,fill_utc,submitted_ny,symbol,side,shares,algo_price,iex_bid,iex_ask,iex_mid,iex_spread_c,fill_price,fill_ny,slip_vs_iex_mid_c,slip_vs_iex_touch_c,slip_bps,latency_s
2026-08-18T14:28:03.643430+00:00,2026-08-18T14:28:05.011188+00:00,10:28:03,SPY,buy,1,768.83,768.82,768.84,768.83,2.0,768.84,10:28:05,1.0,0.0,0.13,1.37
2026-08-18T14:30:04.146571+00:00,2026-08-18T14:30:05.934621+00:00,10:30:04,SPY,sell,1,768.705,768.7,768.79,768.745,9.0,768.7,10:30:05,4.5,-0.0,0.585,1.79
2026-08-18T14:32:03.340702+00:00,2026-08-18T14:32:04.067902118+00:00,10:32:03,AAPL,buy,3,309.88,309.86,310.98,310.42,112.0,309.9,10:32:04,-52.0,-108.0,-16.751,0.73
2026-08-18T14:34:03.386671+00:00,2026-08-18T14:34:05.990273+00:00,10:34:03,AAPL,sell,3,310.7,308.41,310.72,309.565,231.0,310.7033,10:34:05,-113.83,-229.33,-36.772,2.6
2026-08-18T14:36:03.980495+00:00,2026-08-18T14:36:05.783785+00:00,10:36:03,MSFT,buy,2,481.23,477.0,481.3,479.15,430.0,481.3,10:36:05,215.0,0.0,44.871,1.8
2026-08-18T14:38:04.484021+00:00,2026-08-18T14:38:05.180508293+00:00,10:38:04,MSFT,sell,2,481.395,477.0,484.0,480.5,700.0,481.21,10:38:05,-71.0,-421.0,-14.776,0.7
2026-08-18T14:40:04.328311+00:00,2026-08-18T14:40:06.372955+00:00,10:40:04,GOOG,buy,2,341.33,341.37,341.47,341.42,10.0,341.47,10:40:06,5.0,0.0,1.464,2.04
2026-08-18T14:42:04.755012+00:00,2026-08-18T14:42:06.574745+00:00,10:42:04,GOOG,sell,2,341.26,341.21,341.41,341.31,20.0,341.22,10:42:06,9.0,-1.0,2.637,1.82
2026-08-18T14:44:04.688408+00:00,2026-08-18T14:44:05.779664+00:00,10:44:04,AMZN,buy,3,261.69,261.65,261.69,261.67,4.0,261.69,10:44:05,2.0,0.0,0.764,1.09
2026-08-18T14:46:04.507638+00:00,2026-08-18T14:46:08.480651+00:00,10:46:04,AMZN,sell,3,261.33,260.26,261.35,260.805,109.0,261.2967,10:46:08,-49.17,-103.67,-18.852,3.97
